NAME_1,ndvi_diff
Gelderland,-14.851962811020254
Friesland,-14.578786916132158
Zeeland,-13.458728066201385
Overijssel,-12.934219082654524
Utrecht,-11.72875608997814
Drenthe,-10.801233726939136
Noord-Brabant,-10.327473552493496
Noord-Holland,-9.93947291797614
Groningen,-9.91157467759517
Zuid-Holland,-9.848995552147617
Limburg,-9.684417581683833
Flevoland,-8.23171833639881
