NAME_1,NAME_2,ndvi_diff
Zuid-Holland,'s-Gravenzande,85.59461477888685
Zuid-Holland,Monster,196.3377389236241
Zuid-Holland,'s-Gravenhage,-7.5498463555519235
Zuid-Holland,Wateringen,-22.618393280484277
Zuid-Holland,De Lier,-2.348224283417883
Zuid-Holland,Rijswijk,-6.794610820063874
Zuid-Holland,Delft,-10.317518204341274
Zuid-Holland,Pijnacker-Nootdorp,-6.753209680123003
Zuid-Holland,Leidschendam-Voorburg,-11.889693237351917
Zuid-Holland,Wassenaar,-6.452213902297176
Zuid-Holland,Voorschoten,-6.779964192713791
Zuid-Holland,Katwijk,-15.963807307133953
Zuid-Holland,Valkenburg,-2.9338260400739977
Zuid-Holland,Noordwijk,-11.469718984163137
Zuid-Holland,Noordwijkerhout,-7.471229677709907
Zuid-Holland,Rijnsburg,-9.98768476254908
Zuid-Holland,Voorhout,-14.641391083678919
Zuid-Holland,Oegstgeest,-8.753832161779133
Zuid-Holland,Sassenheim,-10.751017195259251
Zuid-Holland,Warmond,-14.67137892994356
Zuid-Holland,Lisse,-9.246860319885224
Noord-Holland,Haarlemmermeer,-11.853040896368736
Zuid-Holland,Hillegom,-5.552392174362232
Zuid-Holland,Alkemade,-9.926589874686814
Zuid-Holland,Leiden,-11.412606147603011
Zuid-Holland,Leiderdorp,-11.74114366132823
Zuid-Holland,Jacobswoude,-10.551953140541434
Zuid-Holland,Rijnwoude,-10.599483201147926
Zuid-Holland,Alphen aan den Rijn,-9.82722882255404
Zuid-Holland,Zoeterwoude,-15.014869910933399
Zuid-Holland,Zoetermeer,-15.781641512616641
Zuid-Holland,Berkel en Rodenrijs,-13.18219697850698
Zuid-Holland,Bergschenhoek,-9.96656649291631
Zuid-Holland,Bleiswijk,-16.57437061190534
Zuid-Holland,Zevenhuizen-Moerkapelle,-15.467780018397507
Zuid-Holland,Nieuwerkerk aan den IJssel,-9.715005414958515
Zuid-Holland,Waddinxveen,-16.105663344292783
Zuid-Holland,Boskoop,-9.535391557105196
Zuid-Holland,Bodegraven,-11.370552609758063
Zuid-Holland,Reeuwijk,-11.445873996420909
Zuid-Holland,Gouda,-8.357020702298348
Zuid-Holland,Moordrecht,-11.090290627255012
Zuid-Holland,Vlist,-8.666643863002266
Utrecht,Oudewater,-12.072516785367728
Utrecht,Woerden,-8.55823201615345
Zuid-Holland,Nieuwkoop,-11.263276350806466
Zuid-Holland,Liemeer,-13.25453049160194
Zuid-Holland,Ter Aar,-13.903292245412146
Noord-Holland,Uithoorn,-11.892767641311861
Noord-Holland,Aalsmeer,-10.132712673336558
Utrecht,De Ronde Venen,-11.41144542773294
Noord-Holland,Amstelveen,-8.11069432793685
Noord-Holland,Amsterdam,-14.385344972165045
Noord-Holland,Oostzaan,-6.022163205333902
Noord-Holland,Zaanstad,-9.15852209453162
Noord-Holland,Haarlemmerliede c.a.,-10.83323533533402
Noord-Holland,Velsen,-14.838757474415244
Noord-Holland,Haarlem,-8.853838363492311
Noord-Holland,Bennebroek,-9.156055471703457
Noord-Holland,Heemstede,-7.442224699965235
Noord-Holland,Bloemendaal,-6.7563084565847
Noord-Holland,Zandvoort,-10.257342694963873
Noord-Holland,Beverwijk,-16.369141079369886
Noord-Holland,Heemskerk,-12.929979150332924
Noord-Holland,Bergen,-7.347494992008266
Noord-Holland,Castricum,-13.240605324625017
Noord-Holland,Heiloo,-11.691670646783324
Noord-Holland,Alkmaar,-14.074988120728522
Noord-Holland,Schermer,-12.695588129028634
Noord-Holland,Graft-De Rijp,-13.837344066553202
Noord-Holland,Uitgeest,-14.591359965812787
Noord-Holland,Wormerland,-11.499223489474977
Noord-Holland,Beemster,-13.294433049060387
Noord-Holland,Wester-Koggenland,-13.49469158679311
Noord-Holland,Zeevang,-13.381922063408211
Noord-Holland,Purmerend,-9.808059484190549
Noord-Holland,Edam-Volendam,-11.254246851278069
Noord-Holland,Waterland,-7.921064826987637
Noord-Holland,Landsmeer,-10.160442272497072
Noord-Holland,Diemen,-8.185405227283605
Noord-Holland,Ouder-Amstel,-11.718749388224621
Utrecht,Abcoude,-9.08550193830867
Noord-Holland,Muiden,-16.957476572203767
Noord-Holland,Weesp,-7.4672494444019675
Utrecht,Loenen,-9.722731491536425
Noord-Holland,Wijdemeren,-11.327241885431306
Flevoland,Almere,-8.235479208860085
Noord-Holland,Naarden,-2.6952562170241787
Noord-Holland,Hilversum,-6.9981383207161505
Noord-Holland,Bussum,-1.7060129897660699
Noord-Holland,Huizen,-4.757700401773626
Noord-Holland,Blaricum,-10.699643189316337
Noord-Holland,Laren,-3.644967427862605
Utrecht,Eemnes,-11.364513715968027
Flevoland,Lelystad,-4.371079065198511
Flevoland,Zeewolde,-12.556868503936588
Flevoland,Dronten,-6.74426959469543
Gelderland,Ermelo,-10.256158171824696
Gelderland,Harderwijk,-13.484742539825469
Gelderland,Nunspeet,-9.60021960587193
Gelderland,Putten,-13.111192840492532
Gelderland,Barneveld,-12.756422375154578
Gelderland,Nijkerk,-15.624745521582932
Utrecht,Bunschoten,-12.54538158670033
Utrecht,Baarn,-8.575572320574576
Utrecht,Soest,-11.55825474357437
Utrecht,Amersfoort,-14.879327186511825
Utrecht,Zeist,-8.851045719644128
Utrecht,Driebergen-Rijsenburg,-12.090600180525229
Utrecht,Leusden,-15.011721047901911
Utrecht,Woudenberg,-13.800154901419079
Utrecht,Maarn,-10.737849966433462
Utrecht,Doorn,-7.119188261246379
Gelderland,Ede,-12.409487897178389
Utrecht,Renswoude,-17.573890966397023
Gelderland,Scherpenzeel,-16.004963866036277
Utrecht,Leersum,-6.36364218862992
Utrecht,Amerongen,-10.322015092053032
Gelderland,Buren,-16.56252949684712
Utrecht,Veenendaal,-11.707758975194292
Utrecht,Rhenen,-12.861491568508836
Gelderland,Wageningen,-13.587632875662917
Gelderland,Kesteren,-15.236047452956596
Gelderland,Druten,-17.4383327348836
Gelderland,West Maas en Waal,-14.43910799857727
Gelderland,Tiel,-8.238923417114682
Utrecht,Wijk bij Duurstede,-18.33323583320829
Utrecht,Bunnik,-18.30350475543065
Utrecht,Houten,-17.37021440457518
Gelderland,Culemborg,-17.340872890820872
Gelderland,Geldermalsen,-15.584534101491318
Utrecht,Vianen,-15.97345142199823
Zuid-Holland,Leerdam,-11.808531486115916
Zuid-Holland,Zederik,-11.266861737868224
Utrecht,Lopik,-12.290583111041476
Utrecht,IJsselstein,-11.530300278197227
Utrecht,Nieuwegein,-14.041754882822408
Utrecht,Utrecht,-10.59713976656752
Utrecht,De Bilt,-7.474013145186879
Utrecht,Maarssen,-6.254400463829221
Utrecht,Breukelen,-9.858339593143192
Utrecht,Montfoort,-8.188043861905847
Zuid-Holland,Giessenlanden,-11.303492901992064
Zuid-Holland,Schoonhoven,-13.379511776989466
Zuid-Holland,Hardinxveld-Giessendam,-17.473183042987955
Zuid-Holland,Gorinchem,-12.590712127798541
Noord-Brabant,Woudrichem,-19.333905455319847
Gelderland,Lingewaal,-14.77622834930007
Gelderland,Zaltbommel,-19.089294753441667
Gelderland,Neerijnen,-18.7703533525203
Noord-Brabant,Aalburg,-21.066238779719924
Gelderland,Maasdriel,-15.643204733064454
Noord-Brabant,Heusden,-14.804660190973197
Noord-Brabant,Waalwijk,-14.498382440181443
Noord-Brabant,Dongen,-11.33222763036409
Noord-Brabant,Loon op Zand,-15.779879214268894
Noord-Brabant,Haaren,-13.88437294627493
Noord-Brabant,Tilburg,-13.634646115459745
Noord-Brabant,Gilze en Rijen,-14.403402665008253
Noord-Brabant,Oosterhout,-8.939989264064746
Noord-Brabant,Geertruidenberg,-16.893722516312124
Noord-Brabant,Alphen-Chaam,-13.819857273864152
Noord-Brabant,Baarle-Nassau,-13.139465502115065
Noord-Brabant,Reusel-De Mierden,-5.687392204081843
Noord-Brabant,Hilvarenbeek,-7.864698934352513
Noord-Brabant,Goirle,-12.824859039136344
Noord-Brabant,Oisterwijk,-9.017939547082166
Noord-Brabant,Oirschot,-8.410747763054967
Noord-Brabant,Boxtel,-11.54239400075642
Noord-Brabant,Eersel,-6.913974011597709
Noord-Brabant,Veldhoven,-6.676071818263331
Noord-Brabant,Bladel,-5.210239536105341
Noord-Brabant,Bergeijk,-5.951673177304795
Noord-Brabant,Valkenswaard,-5.854100143491138
Noord-Brabant,Heeze-Leende,-10.058384430687402
Noord-Brabant,Waalre,-5.3059620110733485
Noord-Brabant,Eindhoven,-9.06380625988437
Noord-Brabant,Geldrop,-7.054378550388143
Noord-Brabant,Nuenen c.a.,-8.596664268530626
Noord-Brabant,Best,-8.472173670521945
Noord-Brabant,Son en Breugel,-10.061579406675307
Noord-Brabant,Sint-Oedenrode,-11.604358614958887
Noord-Brabant,Laarbeek,-10.709603400560804
Noord-Brabant,Veghel,-10.82474294631709
Noord-Brabant,Schijndel,-10.381268615871289
Noord-Brabant,Bernheze,-9.030566976564701
Noord-Brabant,Uden,-8.637510117611033
Noord-Brabant,Maasdonk,-11.641210258361577
Noord-Brabant,Sint-Michielsgestel,-9.795468030003834
Noord-Brabant,'s-Hertogenbosch,-13.25534130745404
Noord-Brabant,Vught,-9.804827693130429
Noord-Brabant,Lith,-15.088209403070316
Noord-Brabant,Oss,-10.164953062095408
Noord-Brabant,Landerd,-7.381026128300991
Gelderland,Wijchen,-12.939939691477948
Gelderland,Beuningen,-12.568458809739543
Noord-Brabant,Grave,-8.863644447907038
Gelderland,Heumen,-10.520492353080682
Noord-Brabant,Mill en Sint Hubert,-4.947290417774989
Noord-Brabant,Cuijk,-6.618535801955651
Gelderland,Nijmegen,-6.524016062471207
Gelderland,Overbetuwe,-16.290090943309405
Gelderland,Lingewaard,-15.228927605448783
Gelderland,Groesbeek,-10.643222842283052
Gelderland,Ubbergen,-10.790351374167113
Gelderland,Millingen aan de Rijn,-5.396959391579369
Limburg,Mook en Middelaar,-8.205768827659407
