NAME_1,greenness_diff
Overijssel,-10.817745405971113
Gelderland,-10.766501923935444
Drenthe,-9.397620933293153
Friesland,-9.22339767807729
Utrecht,-8.321151719968855
Noord-Brabant,-7.36697501282134
Groningen,-7.338508636299923
Zuid-Holland,-5.895730776096877
Noord-Holland,-5.728806873727656
Zeeland,-5.604615878455194
Limburg,-5.5153302274579525
Flevoland,-5.19279490516871
