Provincie,Gemeente,Verschil in Groenheid (%) 2018 tov verleden
Zuid-Holland,Katwijk,-2.458303983
Zuid-Holland,Valkenburg,-1.651591531
Zuid-Holland,Noordwijk,-3.147877992
Zuid-Holland,Noordwijkerhout,-3.140157289
Zuid-Holland,Rijnsburg,-2.374858299
Zuid-Holland,Voorhout,-5.069171186
Zuid-Holland,Oegstgeest,-2.072859507
Zuid-Holland,Sassenheim,-4.506611205
Zuid-Holland,Warmond,-7.715770598
Zuid-Holland,Lisse,-4.165783389
Noord-Holland,Haarlemmermeer,-4.518348058
Zuid-Holland,Hillegom,-2.290148751
Zuid-Holland,Alkemade,-6.466640971
Zuid-Holland,Leiden,-4.862014056
Zuid-Holland,Leiderdorp,-7.056298648
Zuid-Holland,Jacobswoude,-6.798369942
Zuid-Holland,Rijnwoude,-7.656806067
Zuid-Holland,Alphen aan den Rijn,-6.852928304
Zuid-Holland,Zoeterwoude,-10.93248611
Zuid-Holland,Zoetermeer,-6.68668665
Zuid-Holland,Berkel en Rodenrijs,-6.77528811
Zuid-Holland,Bergschenhoek,-5.6233027
Zuid-Holland,Bleiswijk,-5.133483787
Zuid-Holland,Zevenhuizen-Moerkapelle,-6.113987467
Zuid-Holland,Nieuwerkerk aan den IJssel,-6.167980357
Zuid-Holland,Waddinxveen,-6.348517536
Zuid-Holland,Boskoop,-4.701781407
Zuid-Holland,Bodegraven,-9.720553611
Zuid-Holland,Reeuwijk,-6.959850396
Zuid-Holland,Gouda,-4.263777101
Zuid-Holland,Moordrecht,-7.651058623
Zuid-Holland,Vlist,-8.420285101
Utrecht,Oudewater,-11.06315088
Utrecht,Woerden,-7.608966273
Zuid-Holland,Nieuwkoop,-5.237945652
Zuid-Holland,Liemeer,-8.7003671
Zuid-Holland,Ter Aar,-7.842385016
Noord-Holland,Uithoorn,-5.388340049
Noord-Holland,Aalsmeer,-1.633575938
Utrecht,De Ronde Venen,-8.028629763
Noord-Holland,Amstelveen,-4.452345226
Noord-Holland,Amsterdam,-3.793097996
Noord-Holland,Oostzaan,-3.509378175
Noord-Holland,Zaanstad,-5.151605265
Noord-Holland,Haarlemmerliede c.a.,-7.267389186
Noord-Holland,Velsen,-4.516629951
Noord-Holland,Haarlem,-3.056001676
Noord-Holland,Bennebroek,-3.343918092
Noord-Holland,Heemstede,-2.891328109
Noord-Holland,Bloemendaal,-4.33439338
Noord-Holland,Zandvoort,-5.901783584
Noord-Holland,Beverwijk,-4.450878126
Noord-Holland,Heemskerk,-5.531557103
Noord-Holland,Bergen,-6.350533327
Noord-Holland,Castricum,-6.172140806
Noord-Holland,Heiloo,-6.270522506
Noord-Holland,Alkmaar,-4.244428126
Noord-Holland,Schermer,-7.868610622
Noord-Holland,Graft-De Rijp,-10.08512782
Noord-Holland,Uitgeest,-8.202988907
Noord-Holland,Wormerland,-8.160275541
Noord-Holland,Beemster,-7.742467147
Noord-Holland,Wester-Koggenland,-7.593680252
Noord-Holland,Zeevang,-8.496338834
Noord-Holland,Purmerend,-3.368684192
Noord-Holland,Edam-Volendam,-4.990671991
Noord-Holland,Waterland,-8.040384201
Noord-Holland,Landsmeer,-7.505969778
Noord-Holland,Diemen,-2.583653504
Noord-Holland,Ouder-Amstel,-8.144898776
Utrecht,Abcoude,-7.776561623
Noord-Holland,Muiden,-5.734646955
Noord-Holland,Weesp,-6.367448474
Utrecht,Loenen,-7.985038834
Noord-Holland,Wijdemeren,-7.389447634
Flevoland,Almere,-3.646019515
Noord-Holland,Naarden,-5.406355272
Noord-Holland,Hilversum,-4.754890693
Noord-Holland,Bussum,-2.46446258
Noord-Holland,Huizen,-3.10966777
Noord-Holland,Blaricum,-7.237003765
Noord-Holland,Laren,-3.006572995
Utrecht,Eemnes,-8.98679594
Flevoland,Lelystad,-4.87749047
Flevoland,Zeewolde,-6.44802618
Flevoland,Dronten,-5.296490152
Gelderland,Ermelo,-8.256558823
Gelderland,Harderwijk,-7.10443732
Gelderland,Nunspeet,-7.335148479
Gelderland,Putten,-11.06073743
Gelderland,Barneveld,-10.05177613
Gelderland,Nijkerk,-11.42712716
Utrecht,Bunschoten,-9.37230946
Utrecht,Baarn,-5.9366044
Utrecht,Soest,-6.18000228
Utrecht,Amersfoort,-7.104204441
Utrecht,Zeist,-3.772867974
Utrecht,Driebergen-Rijsenburg,-7.861147042
Utrecht,Leusden,-10.86809424
Utrecht,Woudenberg,-11.73493726
Utrecht,Maarn,-8.365530313
Utrecht,Doorn,-4.610013459
Gelderland,Ede,-8.951572331
Utrecht,Renswoude,-14.1104444
Gelderland,Scherpenzeel,-13.78581574
Utrecht,Leersum,-7.928708159
Utrecht,Amerongen,-9.448990086
Gelderland,Buren,-11.02916528
Utrecht,Veenendaal,-6.094669734
Utrecht,Rhenen,-9.672151272
Gelderland,Wageningen,-9.213259954
Gelderland,Kesteren,-8.546634706
Gelderland,Druten,-8.7248913
Gelderland,West Maas en Waal,-10.02140638
Gelderland,Tiel,-6.497900816
Utrecht,Wijk bij Duurstede,-13.42765094
Utrecht,Bunnik,-13.77069929
Utrecht,Houten,-11.33003602
Gelderland,Culemborg,-11.86872075
Gelderland,Geldermalsen,-11.47476184
Utrecht,Vianen,-10.80829486
Zuid-Holland,Leerdam,-10.75115624
Zuid-Holland,Zederik,-10.39539814
Utrecht,Lopik,-10.16183918
Utrecht,IJsselstein,-7.816723723
Utrecht,Nieuwegein,-5.1488843
Utrecht,Utrecht,-4.988302292
Utrecht,De Bilt,-5.828584094
Utrecht,Maarssen,-4.283906564
Utrecht,Breukelen,-7.677091084
Utrecht,Montfoort,-7.56773001
Zuid-Holland,Giessenlanden,-10.3508019
Zuid-Holland,Schoonhoven,-8.566292849
Zuid-Holland,Hardinxveld-Giessendam,-8.026928951
Zuid-Holland,Gorinchem,-6.828181675
Noord-Brabant,Woudrichem,-10.88961547
Gelderland,Lingewaal,-11.59959904
Gelderland,Zaltbommel,-10.35668506
Gelderland,Neerijnen,-11.10721267
Noord-Brabant,Aalburg,-12.42221854
Gelderland,Maasdriel,-9.653323405
Noord-Brabant,Heusden,-9.059516193
Noord-Brabant,Waalwijk,-9.048037203
Noord-Brabant,Dongen,-8.130997979
Noord-Brabant,Loon op Zand,-9.269950173
Noord-Brabant,Haaren,-10.52302532
Noord-Brabant,Tilburg,-7.914379729
Noord-Brabant,Gilze en Rijen,-10.23720663
Noord-Brabant,Oosterhout,-6.735399757
Noord-Brabant,Geertruidenberg,-7.745390855
Noord-Brabant,Alphen-Chaam,-11.07459742
Noord-Brabant,Baarle-Nassau,-11.04454849
Noord-Brabant,Reusel-De Mierden,-5.943957452
Noord-Brabant,Hilvarenbeek,-7.268636998
Noord-Brabant,Goirle,-9.825022373
Noord-Brabant,Oisterwijk,-6.885647369
Noord-Brabant,Oirschot,-7.625296019
Noord-Brabant,Boxtel,-9.738021506
Noord-Brabant,Eersel,-7.16121585
Noord-Brabant,Veldhoven,-4.101335106
Noord-Brabant,Bladel,-5.686202755
Noord-Brabant,Bergeijk,-6.032294745
Noord-Brabant,Valkenswaard,-5.476024031
Noord-Brabant,Heeze-Leende,-7.8677164
Noord-Brabant,Waalre,-5.667350325
Noord-Brabant,Eindhoven,-4.367710171
Noord-Brabant,Geldrop,-4.733243758
Noord-Brabant,Nuenen c.a.,-7.1782905
Noord-Brabant,Best,-7.412071097
Noord-Brabant,Son en Breugel,-7.334814874
Noord-Brabant,Sint-Oedenrode,-9.816110031
Noord-Brabant,Laarbeek,-8.65354967
Noord-Brabant,Veghel,-7.56525351
Noord-Brabant,Schijndel,-9.138201182
Noord-Brabant,Bernheze,-7.855715886
Noord-Brabant,Uden,-6.160856047
Noord-Brabant,Maasdonk,-9.307609382
Noord-Brabant,Sint-Michielsgestel,-8.000389366
Noord-Brabant,'s-Hertogenbosch,-7.055311155
Noord-Brabant,Vught,-7.345584981
Noord-Brabant,Lith,-11.15631425
Noord-Brabant,Oss,-7.497972032
Noord-Brabant,Landerd,-6.375659487
Gelderland,Wijchen,-7.988800701
Gelderland,Beuningen,-7.810507998
Noord-Brabant,Grave,-7.255469213
Gelderland,Heumen,-6.849979273
Noord-Brabant,Mill en Sint Hubert,-5.541898378
Noord-Brabant,Cuijk,-7.460949193
Gelderland,Nijmegen,-4.50951783
Gelderland,Overbetuwe,-9.680976856
Gelderland,Lingewaard,-8.056659862
Gelderland,Groesbeek,-8.395229437
Gelderland,Ubbergen,-7.564333288
Gelderland,Millingen aan de Rijn,-5.037220474
Limburg,Mook en Middelaar,-6.012035849
Limburg,Gennep,-6.898659815
Noord-Brabant,Boxmeer,-5.204293541
Noord-Brabant,Sint Anthonis,-4.91641996
Limburg,Bergen,-4.375891457
Limburg,Venray,-5.022173018
Noord-Brabant,Gemert-Bakel,-6.364455473
Noord-Brabant,Boekel,-5.703580636
Noord-Brabant,Helmond,-5.14468628
Noord-Brabant,Deurne,-4.472373497
Noord-Brabant,Mierlo,-5.776746683
Noord-Brabant,Someren,-6.688508942
Noord-Brabant,Asten,-5.767205369
Noord-Brabant,Cranendonck,-5.986216611
Limburg,Nederweert,-6.79102943
Limburg,Haelen,-4.568041838
Limburg,Roggel en Neer,-7.047325547
Limburg,Meijel,-5.986881023
Limburg,Helden,-6.399828889
Limburg,Sevenum,-6.177272057
Limburg,Horst aan de Maas,-4.282405747
Limburg,Meerlo-Wanssum,-4.158336383
Limburg,Arcen en Velden,-5.562674217
Limburg,Venlo,-4.373828086
Limburg,Maasbree,-5.651983146
Limburg,Kessel,-5.598869735
Limburg,Swalmen,-4.613832915
Limburg,Beesel,-3.886167069
Gelderland,Rijnwaarden,-8.502239144
Gelderland,Doetinchem,-9.815575187
Gelderland,Bergh,-12.62489609
Gelderland,Zelhem,-10.15340639
Gelderland,Hummelo en Keppel,-15.75412493
Gelderland,Hengelo,-11.51059394
Gelderland,Vorden,-11.51854449
Gelderland,Lochem,-13.07314449
Gelderland,Gorssel,-13.01131705
Gelderland,Warnsveld,-11.39602221
Gelderland,Steenderen,-16.77813728
Gelderland,Zutphen,-9.94796737
Gelderland,Brummen,-15.42093192
Gelderland,Voorst,-16.69819284
Gelderland,Rheden,-10.17299051
Gelderland,Doesburg,-12.99477309
Gelderland,Angerlo,-13.80394657
Gelderland,Duiven,-9.866749085
Gelderland,Zevenaar,-9.254158181
Gelderland,Didam,-12.72073472
Gelderland,Wehl,-12.93165597
Gelderland,Westervoort,-7.995339518
Gelderland,Arnhem,-8.331990318
Gelderland,Rozendaal,-6.805039395
Gelderland,Renkum,-9.648487461
Gelderland,Apeldoorn,-9.235373866
Gelderland,Epe,-11.81627689
Overijssel,Deventer,-12.17137709
Overijssel,Olst-Wijhe,-15.55887098
Gelderland,Heerde,-10.50652759
Gelderland,Elburg,-10.09996391
Gelderland,Oldebroek,-10.47407373
Overijssel,Kampen,-8.866588635
Overijssel,Zwolle,-9.643535758
Gelderland,Hattem,-9.023198943
Overijssel,Raalte,-12.74408642
Overijssel,Dalfsen,-11.18102819
Overijssel,Ommen,-9.148372242
Overijssel,Hellendoorn,-10.68430901
Overijssel,Bathmen,-16.58927825
Overijssel,Rijssen,-13.68728467
Drenthe,Hoogeveen,-10.69979925
Drenthe,De Wolden,-12.45031575
Overijssel,Staphorst,-9.811494432
Drenthe,Meppel,-11.22731576
Drenthe,Westerveld,-9.068796935
Drenthe,Assen,-8.876743173
Groningen,Haren,-8.525412136
Groningen,Groningen,-5.248770144
Drenthe,Noordenveld,-9.329256364
Groningen,Leek,-11.15435433
Groningen,Zuidhorn,-11.24123664
Groningen,Grootegast,-10.2910763
Groningen,Marum,-10.66592268
Friesland,Opsterland,-9.489393247
Friesland,Ooststellingwerf,-12.60804822
Friesland,Weststellingwerf,-11.01254761
Friesland,Heerenveen,-9.076850196
Friesland,Smallingerland,-7.795025992
Friesland,Achtkarspelen,-10.76967747
Friesland,Tytsjerksteradiel,-10.30919754
Friesland,Dantumadeel,-10.079763
Friesland,Leeuwarden,-7.32326021
Friesland,Boarnsterhim,-9.283329621
Friesland,Skarsterlân,-9.102329206
Friesland,Lemsterland,-6.706814505
Overijssel,Steenwijkerland,-8.756099109
Flevoland,Noordoostpolder,-5.027550393
Overijssel,Zwartewaterland,-8.389822177
Flevoland,Urk,-6.560260299
Friesland,Gaasterlân-Sleat,-11.91983919
Friesland,Nijefurd,-10.13789406
Noord-Holland,Venhuizen,-7.031914579
Noord-Holland,Enkhuizen,-3.454360285
Noord-Holland,Andijk,-4.287524291
Noord-Holland,Stede Broec,-4.397545222
Noord-Holland,Drechterland,-6.639316605
Noord-Holland,Wervershoof,-6.146890818
Noord-Holland,Hoorn,-4.000149882
Noord-Holland,Wognum,-9.059583096
Noord-Holland,Obdam,-7.671910196
Noord-Holland,Opmeer,-8.594874717
Noord-Holland,Noorder-Koggenland,-7.214544383
Noord-Holland,Niedorp,-7.041904714
Noord-Holland,Wieringermeer,-4.500333408
Noord-Holland,Medemblik,-4.061928136
Noord-Holland,Wieringen,-9.078243235
Noord-Holland,Anna Paulowna,-5.082481941
Friesland,Wûnseradiel,-9.474098456
Friesland,Vlieland,-1.370566722
Friesland,Harlingen,-7.408299107
Friesland,Franekeradeel,-7.849225419
Friesland,Het Bildt,-7.224974871
Friesland,Menaldumadeel,-8.733368235
Friesland,Littenseradiel,-10.61386785
Friesland,Bolsward,-8.311055134
Friesland,Wymbritseradiel,-8.165511053
Friesland,Sneek,-4.857710831
Friesland,Leeuwarderadeel,-9.427164245
Friesland,Ferwerderadiel,-10.82819201
Friesland,Dongeradeel,-8.008692697
Friesland,Ameland,-8.169439044
Friesland,Terschelling,-3.946114782
Friesland,Schiermonnikoog,-7.119965688
Friesland,Kollumerland c.a.,-9.050025173
Groningen,De Marne,-7.057384759
Groningen,Winsum,-10.38447308
Groningen,Bedum,-10.52380022
Groningen,Ten Boer,-10.88485175
Noord-Holland,Texel,-7.170368679
Noord-Holland,Den Helder,-3.031304714
Noord-Holland,Zijpe,-4.403724437
Noord-Holland,Schagen,-6.306231006
Noord-Holland,Harenkarspel,-6.376171887
Noord-Holland,Langedijk,-5.480383341
Noord-Holland,Heerhugowaard,-5.647290115
